관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30230-00019,홈통골,어린이공원,대전광역시 대덕구 송촌남로47번길 26 (송촌동),대전광역시 대덕구 송촌동290-1,36.35670165,127.4431071,1746,야외운동기구,조합놀이대,평의자+등의자,,,1971-08-04,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00020,금바위,어린이공원,대전광역시 대덕구 송촌로37번길 22,대전광역시 대덕구 송촌동 224-4,36.35800263,127.4406081,1818,야외운동기구,조합놀이대+시소,평의자,`,,1978-10-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00021,한촌,어린이공원,대전광역시 대덕구 한밭대로1114번길 34-8(중리동),대전광역시 대덕구 중리동223-1,36.35715604,127.4217361,8100,농구장+철봉+평행봉,조합놀이대+그네,등의자+평의자,,,1978-10-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00022,나래,어린이공원,대전광역시 대덕구 계족로511번길 48,대전광역시 대덕구 중리동 254-34,36.35744608,127.4301009,992.4,야외운동기구,조합놀이대+그네,평의자+등의자,,,1978-10-06,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00023,다정,어린이공원,대전광역시 대덕구 한밭대로1101번길 26,대전광역시 대덕구 중리동 435-7,36.36000426,127.4213844,1506,농구장+야외운동기구,조합놀이대,등의자+평의자+평상,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00024,중앙,어린이공원,대전광역시 대덕구 한밭대로1159번길 20,대전광역시 대덕구 중리동 201-5,36.36001763,127.4275163,1930,야외운동기구,조합놀이대+시소,음수대,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00025,만남,어린이공원,대전광역시 대덕구 중리남로 14(중리동),대전광역시 대덕구 중리동174-1,36.36146494,127.4301685,1510,야외운동기구,조합놀이대,등의자+평의자,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00026,초원,어린이공원,대전광역시 대덕구 중리동로 60,대전광역시 대덕구 중리동 144-1,36.36441938,127.428954,1549,농구장,조합놀이대+시소,평의자+등의자,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00027,미래,어린이공원,대전광역시 대덕구 한밭대로1111번길 140,대전광역시 대덕구 중리동 378-10,36.36442717,127.4234349,1571,철봉+야외운동기구,조합놀이대,평의자+등의자,,,1981-04-15,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00028,보라,어린이공원,대전광역시 대덕구 한밭대로1129번길 57-19(중리동),대전광역시 대덕구 중리동 397-18,36.36154109,127.4228206,1500,야외운동기구,조합놀이대,평의자+등의자,,,1981-04-15,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00029,초록,어린이공원,대전광역시 대덕구 계족산로 9번길 36(중리동),대전광역시 대덕구 중리동105-6,36.36338878,127.4323971,1496,농구대+야외운동기구,조합놀이대+시소,등의자+평의자,,,1990-03-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00030,바우배기,어린이공원,대전광역시 대덕구 계족로663번길 32,대전광역시 대덕구 법동 280-2,36.37332634,127.4260658,4543,야외운동기구,조합놀이대,평의자+등의자,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00031,매봉,어린이공원,대전광역시 대덕구 계족로663번길 36,대전광역시 대덕구 법동 283-3,36.37071721,127.426763,1511,야외운동기구,조합놀이대,평의자+등의자,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00032,범샛골,어린이공원,대전광역시 대덕구 중리북로 12,대전광역시 대덕구 법동 287-6,36.36729802,127.4287994,1580,야외운동기구,조합놀이대,등의자+평의자,,,1984-08-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00033,한마음,어린이공원,대전광역시 대덕구 계족로664번길 62 (법동),대전광역시 대덕구 법동191-2,36.37002762,127.4322335,1905,야외운동기구,조합놀이대,등의자+평의자+음수대,,,1990-03-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00034,소롱골,어린이공원,대전광역시 대덕구 계족로608번길 39-14 (법동),대전광역시 대덕구 법동197-1,36.36695556,127.4326739,1483,야외운동기구,조합놀이대,평의자+화장실,,,1990-03-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00035,범바위,어린이공원,대전광역시 대덕구 동춘당로151(법동+그린타운),대전광역시 대덕구 법동 195-1,36.36592472,127.4357964,2200,야외운동기구,조합놀이대+시소,평의자+음수대+화장실,,,1990-03-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00036,효심,어린이공원,대전광역시 대덕구 계족로598번길 11 (법동),대전광역시 대덕구 법동205-5,36.36534226,127.4316084,1507,야외운동기구,조합놀이대,평의자+화장실,,,1990-03-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00037,용정이,어린이공원,대전광역시 대덕구 신탄진동로35번길 40 (신탄진동),대전광역시 대덕구 신탄진동132-1,36.44982538,127.4330484,1996,야외운동기구,조합놀이대+그네,평의자+화장실,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00038,신탄진1,어린이공원,대전광역시 대덕구 대청로64번길 70 (신탄진동),대전광역시 대덕구 신탄진동21,36.45004051,127.4360138,2015,야외운동기구,조합놀이대+그네,평의자+음수대+화장실,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00039,망골,어린이공원,대전광역시 대덕구 석봉로 38 (석봉동),대전광역시 대덕구 석봉동184-1,36.44717328,127.4264865,1870,야외운동기구,조합놀이대,등의자,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00040,무지개,어린이공원,대전광역시 대덕구 덕암로168번길 11 (평촌동),대전광역시 대덕구 평촌동537-1,36.43555301,127.4228632,3000,야외운동기구+게이트볼장,조합놀이대+시소,평의자,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00041,덕암,어린이공원,대전광역시 대덕구 덕암로246번길 21 (덕암동),대전광역시 대덕구 덕암동16-1,36.44244826,127.4261525,5378,야외운동기구,조합놀이대+시소,화장실+등의자+평의자,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00042,새뜸,어린이공원,대전광역시 대덕구 덕암로249번길 52 (덕암동),대전광역시 대덕구 덕암동22-5,36.44294052,127.421442,7339,야외운동기구+족구장+농구장,조합놀이대+시소+그네,평의자+등의자,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00043,목상,어린이공원,대전광역시 대덕구 대덕대로1470번길 57 (목상동),대전광역시 대덕구 목상동185-3,36.44637388,127.412508,1927,야외운동기구,조합놀이대+시소+그네,평의자+화장실,,,1990-07-04,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00044,여태말,어린이공원,대전광역시 대덕구 대덕대로1454번길 39(목상동),대전광역시 대덕구 목상동174,36.44645457,127.4106921,1808,야외운동기구,조합놀이대+시소,평의자+화장실+음수대,,,1990-07-04,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00045,증척골,어린이공원,대전광역시 대덕구 계족로690번길 21,대전광역시 대덕구 법동 440-4,36.37265166,127.4301092,2056,야외운동기구,조합놀이대+시소,등의자+평의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00046,여수금,어린이공원,대전광역시 대덕구 계족산로 136,대전광역시 대덕구 송촌동 494-1,36.36579896,127.4458476,1491,야외운동기구,조합놀이대,등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00047,학댕이,어린이공원,대전광역시 대덕구 동춘당로114번길 60,대전광역시 대덕구 송촌동 461-1,36.36904622,127.4415081,1506,야외운동기구,조합놀이대+시소,평의자+등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00048,진가쟁이,어린이공원,대전광역시 대덕구 선비마을로5번길 24,대전광역시 대덕구 송촌동 504-2,36.36299344,127.445386,1615,야외운동기구,조합놀이대,등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00049,상수골,어린이공원,대전광역시 대덕구 동춘당로 16,대전광역시 대덕구 송촌동 553-8,36.36109892,127.4469027,2336,야외운동기구,조합놀이대,등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00050,청솔,어린이공원,대전광역시 대덕구 계족산로43번길 43-6 (중리동),대전광역시 대덕구 중리동490-1,36.36433735,127.4353153,5641,야외운동기구,조합놀이대+시소,평의자+등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00051,정려,어린이공원,대전광역시 대덕구 송촌북로15번길 11,대전광역시 대덕구 중리동 499-2,36.36361816,127.4361712,1502,야외운동기구,조합놀이대,평의자+등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00052,송촌,어린이공원,대전광역시 대덕구 송촌북로4번길 47-18,대전광역시 대덕구 송촌동 475-2,36.36390654,127.439654,2021,야외운동기구,조합놀이대,등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00053,대양,어린이공원,대전광역시 대덕구 계족산로36번길 82,대전광역시 대덕구 송촌동 488-7,36.3619651,127.4396486,1505,야외운동기구,조합놀이대,평의자+등의자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00054,4공단,어린이공원,대전광역시 대덕구 신일서로104번길 46,대전광역시 대덕구 신일동 1690-3,36.43378665,127.4061471,5991,,,평의자+정자,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00055,등마루,어린이공원,대전광역시 대덕구 대덕대로1593번길 28 (석봉동),대전광역시 대덕구 석봉동202-1,36.45155964,127.4250572,1933,야외운동기구,조합놀이대,정자,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00056,석봉,어린이공원,대전광역시 대덕구 석봉로57번길 55 (석봉동),대전광역시 대덕구 석봉동 415-51,36.44982635,127.4273789,1687,야외운동기구,조합놀이대,등의자+평의자+화장실,,,2014-10-17,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00057,효자2,어린이공원,대전광역시 대덕구 대전로1397번길 47-15,대전광역시 대덕구 읍내동 204-6,36.380023,127.4193753,1553,,,,,,2007-03-02,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00058,대화동2구역,어린이공원,대전광역시 대덕구 동심1길 113 (대화동),대전광역시 대덕구 대화동243-1,36.36358487,127.412637,1658,,,,,,2009-06-26,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00059,후곡,소공원,대전광역시 대덕구 계족로 750,대전광역시 대덕구 읍내동 74-4,36.37825278,127.4272986,1305,,조합놀이대,,,,1998-06-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00060,임천마당,소공원,대전광역시 대덕구 계족로740번길 38,대전광역시 대덕구 읍내동 517-10,36.3777763,127.4292596,2020,야외운동기구,,정자+의자,,,2013-04-05,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00061,효자2,소공원,대전광역시 대덕구 대전로1397번안길 20 (읍내동),대전광역시 대덕구 읍내동219-5,36.37932419,127.4215641,4225.3,,,,,,2007-03-02,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00062,대화1,소공원,대전광역시 대덕구 대화10길 30 (대화동),대전광역시 대덕구 대화동16-145,36.36431024,127.416677,5281,,,,,,2008-10-10,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00063,대화2-1,소공원,대전광역시 대덕구 생산5길 23,대전광역시 대덕구 대화동 235-11,36.36541839,127.4099679,1250,,,,,,2009-06-26,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00064,대화2-2,소공원,대전광역시 대덕구 동심7길 4 (대화동),대전광역시 대덕구 대화동 35-466,36.36573663,127.4121333,1372,,,,,,2017-11-01,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00065,공원(석봉B),소공원,대전광역시 대덕구 석봉북로15번길 1,대전광역시 대덕구 석봉동 306-30,36.44862002,127.4248397,468,,,,,,2015-04-17,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00066,공원(석봉1),소공원,대전광역시 대덕구 대덕대로 1527번길,대전광역시 대덕구 석봉동 482,36.45533448,127.4249756,4578,,,,,,2016-05-20,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00067,공원(법동),소공원,대전광역시 대덕구 중리북로 46 (법동 e편한세상 대전법동),대전광역시 대덕구 법동 448,36.3675269,127.4248477,4223.9,,,등의자+ 평의자,,,2016-06-17,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00068,공원(와동),소공원,대전광역시 대덕구 신탄진로218번길 20 (와동 대덕브라운스톤아파트),대전광역시 대덕구 와동 39,36.39835755,127.4255348,1840,,,,,,2015-04-03,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00069,법동2,소공원,대전광역시 대덕구 계족로663번길 30,대전광역시 대덕구 법동 281,36.3740152439,127.4273647627,1307,,,,,,2013-03-15,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00070,연축a,소공원,대전광역시 대덕구 신탄진로162번길 12,대전광역시 대덕구 연축동 199-1,36.3947463303,127.4225070344,6246,,,,,,2023-01-27,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00071,연축b,소공원,대전광역시 대덕구 신탄진로36번길58,대전광역시 대덕구 연축동 39-2,36.3866211428,127.4267632273,4397,,,,,,2023-01-27,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00072,평촌3,소공원,대전광역시 대덕구 평촌2길 49,대전광역시 대덕구 평촌동 77,36.4332444727,127.4358778195,1907,,,,,,2022-12-09,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00073,덕암,소공원,대전광역시 대덕구 덕암북로10번길 4,대전광역시 대덕구 덕암동 1-17,36.4477545619,127.4200224673,2402,,,,,,2024-04-17,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00074,동춘당,역사공원,대전광역시 대덕구 동춘당로 90 (송촌동),대전광역시 대덕구 송촌동463,36.3653937,127.4402103,55579,운동시설+다목적광장,,화장실+주차장+관리사,무형문화재전수회관,,1993-12-08,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00075,로하스가족,문화공원,대전광역시 대덕구 대청로424번길 200 (미호동),대전광역시 대덕구 미호동 476-2,36.45651553,127.4741555,34204,야외운동기구,조합놀이대,캠핑장,,,2014-12-29,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00076,미호만남,문화공원,대전광역시 대덕구 대청로 429,대전광역시 대덕구 미호동 425-1,36.45944046,127.4648644,4761,,,화장실,,,2014-12-29,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00077,안골,문화공원,대전광역시 대덕구 신탄진로796번길 62 (신탄진동),대전광역시 대덕구 신탄진동137-5,36.4490201,127.432778,2002,야외운동기구,조합놀이대+시소,등의자,,,1982-02-19,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00078,장동,문화공원,대전광역시 대덕구 산디로 79-70,대전광역시 대덕구 장동 산 63,36.4055283404,127.4425107604,85702,야외운동기구,,평의자+화장실+음수대,,,2022-06-17,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00079,길치,문화공원,대전광역시 대덕구 대청로 429,대전광역시 대덕구 미호동 425-1,36.45944046,127.4648644,73469,야외운동기구,,평의자+ 등의자+ 평의자+ 화장실,,,1965-10-14,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00080,목상,체육공원,대전광역시 대덕구 대덕대로1486번길 185 (목상동),대전광역시 대덕구 목상동 875,36.44445106,127.4117808,141445,야외운동기구,조합놀이대,평상+등의자+평의자,,,1965-10-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00081,송촌,체육공원,대전광역시 대덕구 선비마을로 72,대전광역시 대덕구 송촌동 510,36.36705566,127.4462271,103757,농구장+게이트볼장+배드민턴장+미니축구장,조합놀이대,평의자+등의자+야외테이블,,,2006-12-29,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00082,금강로하스산호빛,체육공원,대전광역시 대덕구 대덕대로1527번길 200 (석봉동),대전광역시 대덕구 석봉동780,36.45388321,127.4215677,34283,농구장+족구장+배구장+인라인트랙,,수영장+음악분수+바닥분수,,,2008-05-02,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00083,을미기,체육공원,대전광역시 대덕구 대덕대로1448번길 120 (신일동),대전광역시 대덕구 신일동1682-8,36.44272654,127.4113264,64011,철봉+야외운동기구,조합놀이대+시소+그네,축구장+테니스장+농구장,들말두레전수회관,,1991-04-12,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00084,지수,체육공원,대전광역시 대덕구 갑천도시고속도로 677 (상서동),대전광역시 대덕구 상서동 산66-11,36.42535428,127.4166966,67105,,,,,,1965-10-13,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00085,용정,체육공원,대전광역시 대덕구 대청로 43,대전광역시 대덕구 신탄진동 771,36.453540035,127.43161414,24269,,,,,,2016-06-30,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00086,대청,기타,대전광역시 대덕구 대청로 43,대전광역시 대덕구 신탄진동 771,36.453540035,127.43161414,3219,,,파고라+등의자+평의자,,,2016-06-30,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00087,평촌2,기타,대전광역시 대덕구 태양마을길 63,대전광역시 대덕구 평촌동 182-34,36.43784036,127.4355417,1697,,,,,,2023-06-29,대전광역시 대덕구청,042-608-5133,2025-10-17
30230-00088,청자,기타,대전광역시 대덕구 태양마을길 63,대전광역시 대덕구 평촌동 182-34,36.4378403552,127.4355417218,2116,,,,,,2023-06-29,대전광역시 대덕구청,042-608-5133,2025-10-17
