관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
30170-00011,신선암,근린공원,대전광역시 서구 관저중로 65,대전광역시 서구 관저동 1151,36.2981289,127.334078,11733.5,농구대 외5종,유아용미끄럼대 외2종,화장실,,등의자 외1종,1995-03-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00012,월평,근린공원,,대전광역시 서구 갈마동 414-1,36.34555079,127.3640684,1516997.8,운동시설,유희시설,편익시설,,싸이클 외3종,1965-10-14,대전광역시 서구청,042-288-3623,2026-05-28
30170-00013,느리울,근린공원,,대전광역시 서구 관저동 1419,36.29973868,127.342493,13909,철봉 외7종,놀이공간 외3종,음수대 외1종,,그늘집 외7종,1988-12-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00014,구봉,근린공원,,대전광역시 서구 관저동 264,36.294499,127.332929,10368.9,체력단련장 외2종,어린이놀이터 외3종,,,놀이터 안내판 외1종,2005-03-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00015,소태,근린공원,,대전광역시 서구 도안동 1368,36.31707788,127.3466285,13615.5,야외체육시설,유희시설,편익시설,교양시설,종합안내판외1종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00016,봉우재,근린공원,,대전광역시 서구 관저동 1662,36.30618093,127.3334885,10044.2,운동시설물 외1종,숲속놀이터 외1종,,,마을유래비 외1종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00017,도안7,근린공원,,대전광역시 서구 가수원동 835,36.31154909,127.3444163,683766.2,게이트볼장 외4종,어린이놀이대,화장실,,야외무대+안내판 외1종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00018,선유,근린공원,,대전광역시 서구 관저동 2026,36.288766,127.332105,30921.3,운동시설,,화장실,,공원등39주,2017-02-17,대전광역시 서구청,042-288-3623,2026-05-28
30170-00019,오량,어린이공원,,대전광역시 서구 복수동 287-4,36.3095928,127.3739286,1152,노르딕머신외 3종,조합놀이대외2종,화장실,,공원등5주 외3종,1985-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00020,계림,어린이공원,대전광역시 서구 계백로 1300번길 43,대전광역시 서구 정림동 18-16,36.30654398,127.3679612,1219.3,노르딕머신외 4종,2인용시소 외 2종,화장실,,,1976-06-11,대전광역시 서구청,042-288-3623,2026-05-28
30170-00021,강변,어린이공원,,대전광역시 서구 정림동 563,36.306349,127.364088,3100.2,체력단련시설,조합놀이대 외4종,화장실,,공원등14주 외4종,1982-11-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00022,수밋들,어린이공원,대전광역시 서구 정림동로 8-6,대전광역시 서구 정림동 635,36.30406408,127.3664116,4021.1,크로스컨트리오 3종,조합놀이대 외 3종,음수대외1종,,공원등11주 외5종,1982-11-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00023,정림,어린이공원,,대전광역시 서구 정림동 668,36.30170246,127.3667974,2478.7,스텝싸이클외 7종,조합놀이대 외4종,음수대외1종,,공원등7주 외3종,1982-11-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00024,목운,어린이공원,,대전광역시 서구 변동 254-182,36.33161809,127.368743,1503,하늘걷기 외2종,조합놀이대 외4종,,,공원등5주 외4종,1986-02-22,대전광역시 서구청,042-288-3623,2026-05-28
30170-00025,평화,어린이공원,,대전광역시 서구 변동 254-364,36.330229,127.3679983,1673,에어워킹 외4종,조합놀이대 외4종,음수대외1종,,공원등5주 외3종,1986-02-22,대전광역시 서구청,042-288-3623,2026-05-28
30170-00026,선경,어린이공원,,대전광역시 서구 탄방동 59-14,36.34297758,127.3946476,1932.9,등펴기외 6종,조합놀이대 외3종,음수대외1종,,공원등2주 외4종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00027,새말,어린이공원,,대전광역시 서구 탄방동 780,36.3439996,127.3906417,1627.4,고급형체육시설 외1종,조합놀이대 외5종,화장실외1종,,공원등8주 외12종,1988-03-30,대전광역시 서구청,042-288-3623,2026-05-28
30170-00028,도산,어린이공원,,대전광역시 서구 탄방동 1051,36.346508,127.395813,1503.6,싸이클링 외5종,조합놀이대 외2종,자전거보관대,,공원등4주 외5종,1988-03-30,대전광역시 서구청,042-288-3623,2026-05-28
30170-00029,문정,어린이공원,대전광역시 서구 둔산남로 191번길 24,대전광역시 서구 둔산동 2006,36.3500004,127.398921,1570.8,온몸근육풀기 외2종,조합놀이대,,국기게양대1개소,공원등5주 외2종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00030,윗둔지미,어린이공원,,대전광역시 서구 둔산동 1193,36.35063299,127.379071,1753.8,노르딕머신+에어위킹,조합놀이대 외3종,음수대외1종,,공원등8주 외3종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00031,계룡,어린이공원,,대전광역시 서구 둔산동 1234,36.346429,127.381419,1566.2,레그프레스 외 5종,조합놀이대 외3종,음수대외1종,,공원등9주 외2종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00032,백운,어린이공원,대전광역시 서구 도산로 335번길 62,대전광역시 서구 괴정동 51-1,36.33785321,127.3863761,1672.7,에어서핑 외 2종,조합놀이대 외2종,,,공원등 5주 외4종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00033,지치울,어린이공원,대전광역시 서구 괴정로 16번길 5,대전광역시 서구 괴정동 123-6,36.339704,127.376899,1662.1,스텝싸이클 등 3종,조합놀이대 외4종,음수대 외1종,,공원등4주 외5종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00034,웅기,어린이공원,,대전광역시 서구 괴정동 138-5,36.336034,127.375737,2132.6,체력단련시설 외1종,조합놀이대 외3종,,,공원등5주 외5종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00035,새들,어린이공원,대전광역시 서구 괴정로 198번길 46,대전광역시 서구 가장동 23-1,36.33115899,127.389596,1631.1,지압보도외6종,조합놀이대 외4종,음수대외1종,,공원등 4주 외4종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00036,예정,어린이공원,대전광역시 서구 동서대로 1047번길 16,대전광역시 서구 내동 16-1,36.33136066,127.378459,1662.1,농구대외6종,조합놀이대 외1종,음수대외1종,,공원등 6주외 4종,1970-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00037,안골,어린이공원,,대전광역시 서구 내동 161-7,36.33534582,127.371706,1501.7,농구대외3종,조합놀이대 외3종,음수대외1종,,공원등 2주외 4종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00038,안산뜸,어린이공원,,대전광역시 서구 갈마동 363-1,36.348391,127.368625,1870,에어워킹 외2종,조합놀이대 외1종,화장실 외1종,,공원등5주 외3종,1985-08-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00039,우마장,어린이공원,,대전광역시 서구 갈마동 408-3,36.34228193,127.369617,1700,오금펴기 외11종,조합놀이대 외2종,화장실,,공원등 1주 외2종,1985-08-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00040,뒷뜰,어린이공원,대전광역시 서구 계룡로 342번길 28,대전광역시 서구 갈마동 295-17,36.35269209,127.3663765,2750,워밍업 외5종,조합놀이대 외3종,음수대,,공원등 2주 외4종,1985-08-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00041,한마음,어린이공원,,대전광역시 서구 갈마동 392-6,36.344106,127.368018,4150,롤링웨이스트 외3종,조합놀이대 외2종,음수대 외2종,,공원등10주 외3종,1985-08-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00042,건능골,어린이공원,대전광역시 서구 갈마로 103번길 41,대전광역시 서구 갈마동 402-1,36.344806,127.371591,2000,워밍암 외4종,조합놀이대 외1종,,,공원등 3주 외3종,1985-08-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00043,명학,어린이공원,대전광역시 서구 갈마중로 43,대전광역시 서구 갈마동 985,36.34764916,127.374279,1546.4,트윈트위스트 외3종,조합놀이대 외2종,음수대,,공원등 4주 외6종,1988-12-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00044,상촌,어린이공원,,대전광역시 서구 갈마동 1318,36.341591,127.375433,1505.4,허리돌리기 외5종,조합놀이대 외1종,화장실,,공원등 6주 외3종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00045,월평,어린이공원,대전광역시 서구 월평로 27번길 1,대전광역시 서구 월평동 405,36.356732,127.360173,3994734,허리돌리기 외5종,조합놀이대 외3종,,,공원등4주 외6종,1988-12-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00046,사정,어린이공원,대전광역시 서구 월평로 24번길 39,대전광역시 서구 월평동 664,36.35711463,127.3666229,1779.3,윗몸일으키기 외3종,조합놀이대 외2종,,,공원등4주 외3종,1981-12-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00047,반달,어린이공원,,대전광역시 서구 월평동 862,36.35534706,127.3653233,1666,윗몸일으키기 외4종,그네 외4종,화장실 외1종,,공원등 10주 외4종,1981-12-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00048,섬말,어린이공원,,대전광역시 서구 월평동 1554,36.35529555,127.3610203,1929.1,다리굽혀펴기 외3종,조합놀이대 외2종,음수대 외1종,,공원등 5주 외7종,1981-12-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00049,새뜸,어린이공원,대전광역시 서구 월평새뜸로4번길 49-26,대전광역시 서구 월평동 1489,36.35396386,127.3553053,2069.1,크로스컨트리 외5종,조합놀이대 외2종,,,공원등 5주 외6종,1981-12-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00050,청산,어린이공원,,대전광역시 서구 만년동 7,36.367969,127.374954,2266.5,공중걷기 외2종,조합놀이대 외3종,음수대 외1종,,공원둥 6주 외3종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00051,중보,어린이공원,대전광역시 서구 만년남로3번길 101,대전광역시 서구 만년동 24,36.36540959,127.3709107,2510.5,게이트볼장 외6종,조합놀이대 외3종,자전거보관대,,공원등 6주 외4종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00052,만년,어린이공원,,대전광역시 서구 만년동 279,36.3663674,127.3721547,1725.6,에어서핑 외2종,조합놀이대 외3종,화장실 외1종,,공원등 5주 외6종,1991-04-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00053,원모,어린이공원,대전광역시 서구 벌곡로 1379번길 33,대전광역시 서구 가수원동 769-1,36.30380498,127.3516804,1703.1,노르딕머신외5종,조합놀이대외4종,음수대외1종,,공원등6주 외1종,1985-08-13,대전광역시 서구청,042-288-3623,2026-05-28
30170-00054,구봉,어린이공원,대전광역시 서구 가수원중로 43-11,대전광역시 서구 가수원동 788-4,36.30073795,127.3530754,1875.4,노르딕머신외 5종,조합놀이대외 2종,화장실 외1종,,공원등6주 외3종,1985-08-13,대전광역시 서구청,042-288-3623,2026-05-28
30170-00055,백야,어린이공원,,대전광역시 서구 가수원동 815-6,36.297215,127.354189,1616.9,트위스트외3종,조합놀이대 외4종,화장실,,공원등5등 외4종,1985-08-13,대전광역시 서구청,042-288-3623,2026-05-28
30170-00056,원앙,어린이공원,,대전광역시 서구 관저동 1004,36.30953467,127.335481,3251.9,평행봉 외7종,조합놀이대 외2종,음수대,,공원등6주 외1종,1995-03-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00057,봉우재,어린이공원,,대전광역시 서구 관저동 985,36.30942275,127.3383638,10044.2,싸이클링외 3종,조합놀이대 외2종,,,공원등5주 외6종,1995-03-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00058,금성,어린이공원,,대전광역시 서구 관저동 991,36.30621506,127.338831,4000,크로스컨트리외4종,조합놀이대 외1종,,,공원등5주 외3종,1995-03-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00059,만수,어린이공원,,대전광역시 서구 관저동 999,36.30245227,127.3383903,3561.7,크로스컨트리외4종,조합놀이대 외3종,음수대,,공원등5주 외5종,1995-03-31,대전광역시 서구청,042-288-3623,2026-05-28
30170-00060,금동,어린이공원,,대전광역시 서구 관저동 1138,36.29923067,127.325369,2581.1,철봉외6종,조합놀이대 외3종,,,공원등8주 외2종,1996-06-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00061,들말,어린이공원,,대전광역시 서구 가장동 38-5,36.32914581,127.3823284,6196,싸이클링 외 7종,조합놀이대 외 5종,음수대+화장실,,공원등29주 외 5종,2009-08-07,대전광역시 서구청,042-288-3623,2026-05-28
30170-00062,요동,어린이공원,,대전광역시 서구 관저동 1167,36.29866565,127.3284436,3008.1,철봉 외 8종,조합놀이대 외 2종,,,공원등4주 외6종,1996-06-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00063,장가동,어린이공원,,대전광역시 서구 관저동 1130,36.30038256,127.3314927,2994.8,팔굽혀펴기 외8종,조합놀이대 외2종,,,공원등4주 외5종,1996-06-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00064,선암,어린이공원,대전광역시 서구 관저로 129번길 26,대전광역시 서구 관저동 1183,36.30001449,127.3365021,1976.5,허리돌리기 외4종,조합놀이대 외1종,자전거보관대,,공원등2주 외3종,1997-11-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00065,서당,어린이공원,,대전광역시 서구 관저동 1144,36.29733449,127.3273024,1504.9,스트레칭로라외4종,조합놀이대 외2종,,,공원등4주 외5종,1997-11-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00066,돌샘,어린이공원,,대전광역시 서구 관저동 1148,36.29747469,127.3300677,2983.8,농구대외6종,조합놀이대 외1종,,,공원등4주 외2종,1997-11-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00067,관저,어린이공원,,대전광역시 서구 관저동 1156,36.29477598,127.331191,2997,농구대외 5종,조합놀이대 외1종,음수대,,공원등6주 외5종,1997-11-26,대전광역시 서구청,042-288-3623,2026-05-28
30170-00068,새아름,어린이공원,,대전광역시 서구 관저동 1247,36.300566,127.3376849,1494.8,평행봉외 7종,조합놀이대 외4종,,,공원등6주 외3종,1998-12-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00069,모롱이,어린이공원,,대전광역시 서구 관저동 1421,36.301839,127.343176,2501.4,철봉외 7종,조합놀이대 외3종,,,공원등4주외2종,1998-12-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00070,선유,어린이공원,,대전광역시 서구 관저동 1365,36.29822708,127.339259,1504.1,평행봉 외2종,조합놀이대 외3종,,,공원등4주 외4종,1998-12-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00071,시롱,어린이공원,,대전광역시 서구 관저동 1397,36.298756,127.343272,1525.3,스텝싸이클외4종,조합놀이대 외3종,자전거보관대,,공원등6주 외5종,1998-12-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00072,찬샘,어린이공원,,대전광역시 서구 관저동 1393,36.295551,127.340958,2017.6,농구대외 8종,조합놀이대 외2종,자전거보관대,,공원등3주외3종,1998-12-29,대전광역시 서구청,042-288-3623,2026-05-28
30170-00073,신계,어린이공원,,대전광역시 서구 복수동 453,36.300951,127.378165,1751,바디실업외 5종,조합놀이대외2종,,,공원등8주 외3종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00074,벌말,어린이공원,,대전광역시 서구 복수동 646,36.298619,127.379391,2608.4,농구대외6종,조합놀이대외2종,,,공원등5주 외5종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00075,천변,어린이공원,,대전광역시 서구 복수동 689,36.298221,127.380595,1678.9,,조합놀이대외3종,음수대,,공원등5주 외6종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00076,느티나무,어린이공원,,대전광역시 서구 복수동 898,36.29670138,127.379542,1600,노르딕머신외1종,조합놀이대외3종,,,공원등4주 외5종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00077,옻샘,어린이공원,,대전광역시 서구 복수동 815,36.295968,127.376842,1694.5,베드민턴장외3종,조합놀이대외 2종,,,공원등6주 외5종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00078,방울샘,어린이공원,,대전광역시 서구 복수동 752,36.29766824,127.376469,1852.6,체력단련시설,조합놀이대외5종,,,공원등5주 외6종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00079,서낭당,어린이공원,,대전광역시 서구 복수동 569,36.299161,127.374836,1830.1,허리돌리기외5종,조합놀이대외2종,,,공원등4주 외5종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00080,샛별,어린이공원,,대전광역시 서구 복수동 503,36.298811,127.377781,1800.8,농구대외3종,조합놀이대외2종,,,공원등5주 외5종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00081,두레박,어린이공원,,대전광역시 서구 흑석동 842,36.25525874,127.3398049,1497.7,,조합놀이대외1종,,,공원등3주 외1종,1997-12-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00082,금평,어린이공원,,대전광역시 서구 흑석동 983,36.254111,127.341743,1580.1,싸이클링 외 5종,조합놀이대외1종,파고라,,공원등3주 외1종,1997-12-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00083,노곡,어린이공원,,대전광역시 서구 관저동 1996,36.29704495,127.3238301,1594.6,,조합놀이대외 3종,,,사각수목보호등6주,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00084,방아,어린이공원,,대전광역시 서구 관저동 1988,36.29568013,127.3276937,2704,야외체육시설물,조합놀이대외 3종,,야외공연장,볼라드,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00085,안샘,어린이공원,,대전광역시 서구 관저동 산 46-26,36.293549,127.325441,7444.8,야외체육시설3,시소 외3종,,,,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00086,옥은,어린이공원,,대전광역시 서구 관저동 875-59,36.294498,127.332929,1671,야외체육시설4,조합놀이대 외3종,,,볼라드5 외1종,1996-06-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00087,불티,어린이공원,,대전광역시 서구 복수동 277-5,36.30762469,127.3735059,3292.3,체력단련시설,조합놀이대 외7종,화장실 외1종,,공원등22주 외5종,2007-11-30,대전광역시 서구청,042-288-3623,2026-05-28
30170-00088,햇살아래,어린이공원,,대전광역시 서구 관저동 1574,36.29599337,127.3342882,1665.8,싸이클링 외2종,조합놀이대 외3종,,,글담,2005-03-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00089,느리울,어린이공원,,대전광역시 서구 관저동 1594,36.29390401,127.3411369,3283.7,싸아클링 외2종,조합놀이대 외3종,,,글담외1종,2005-03-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00090,창골,어린이공원,,대전광역시 서구 관저동 1603,36.29585963,127.3442375,1511.3,베드민턴및 포스트,조합놀이대 외3종,,,경계펜스,2005-03-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00091,동방,어린이공원,,대전광역시 서구 관저동 1616,36.29899895,127.3468039,3328.6,싸이클링외 6종,조합놀이대 외2종,,,경계펜스,2005-03-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00092,원도안,어린이공원,,대전광역시 서구 도안동 1113,36.32433529,127.3460925,2406.7,,조합놀이대 외5종,,,공원등5주 외2종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00093,미나리,어린이공원,,대전광역시 서구 가수원동 1237,36.30809214,127.3535844,1532,어깨관절놀이 외2종,조합놀이대 외 1종,,,공원등4주 외3종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00094,용소,어린이공원,,대전광역시 서구 가수원동 989,36.30703083,127.3506341,15745.6,농구대 외5종,조합놀이대 외3종,,,공원등6주 외4종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00095,나비,어린이공원,,대전광역시 서구 도안동 1401,36.3150075,127.3501199,1523.7,,조합놀이대 외3종,,,공원등4주 외2종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00096,바다,어린이공원,,대전광역시 서구 가수원동 1091,36.31081136,127.352368,1702.5,어깨관절놀이 외3종,조합놀이대 외4종,,,공원등6주 외3종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00097,윗용소,어린이공원,,대전광역시 서구 가수원동 925,36.30788283,127.3496123,2761.3,어깨관절놀이 외2종,조합놀이대 외1종,,,공원등9주 외4종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00098,변정,어린이공원,,대전광역시 서구 변동 45-1,36.32330852,127.382723,1649.6,윗몸일으키기외7종,조합놀이대외1종,음수대,,점멸기외3종,1970-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00099,송산,어린이공원,,대전광역시 서구 도마동 207-3,36.321391,127.371471,888.2,평행봉외1종,그네외2종,,,공원등2주외3종,1970-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00100,용화,어린이공원,,대전광역시 서구 도마동 45-1,36.32160423,127.374508,1652.9,스텝싸이클 등 5,,,,,1970-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00101,도화,어린이공원,,대전광역시 서구 도마동 132-4,36.315805,127.380843,1661.2,싸이클링 외 3종,조합놀이대외2종,,,공원등2주 외2종,1970-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00102,제비네,어린이공원,,대전광역시 서구 도마동 165-1,36.312823,127.375135,1622,트위스트외 4종,조합놀이대외7종,음수대외1종,,가로등4주외3종,1970-11-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00103,들말,어린이공원,,대전광역시 서구 가장동 38-57,36.328903,127.382327,6196,운동시설물,조합놀이대 외4종,화장실 외2종,,공원등24주 외5종,2009-08-07,대전광역시 서구청,042-288-3623,2026-05-28
30170-00104,탄방,어린이공원,,대전광역시 서구 탄방동 68-1,36.34299944,127.3946323,1949.5,,경사놀이대 외4종,,,공원등7주 외5종,2013-10-25,대전광역시 서구청,042-288-3623,2026-05-28
30170-00105,도안숲,소공원,대전광역시 서구 원도안로 179번길 40,대전광역시 서구 도안동 1354,36.31878054,127.3424648,2865.5,다목적구장외1종,흔들놀이대외 1종,,,종합안내판외1종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00106,용소,수변공원,대전광역시 서구 원도안로242번길 15-11,대전광역시 서구 가수원동 1072,36.32495028,127.3467505,15745.6,운동시설물,,,,관리사무소외3종,2001-01-05,대전광역시 서구청,042-288-3623,2026-05-28
30170-00107,옥녀봉,체육공원,대전광역시 서구 도안북로 158,대전광역시 서구 도안동 971,36.33173992,127.3448293,50149.5,축구장 외5종,,주차장 등,,저류지 외1종,2008-12-23,대전광역시 서구청,042-288-3623,2026-05-28
30170-00108,하늘아래,체육공원,대전광역시 서구 구봉산북로 121,대전광역시 서구 관저동 1580,36.29278461,127.3335882,66916.6,마레트골프장 외 5종,조합놀이대 외2종,,,세족장 외5종,2005-03-19,대전광역시 서구청,042-288-3623,2026-05-28
30170-00109,도마실,체육공원,,대전광역시 서구 도마동 137-47,36.31332357,127.3853478,12438,운동시설,유희시설,편익시설,,,2009-08-07,대전광역시 서구청,042-288-3623,2026-05-28
30170-00110,우정,기타,,대전광역시 서구 괴정동 425-1,36.33980957,127.388738,1741.8,서핑롤링머신 외2종,조합놀이대 외1종,화장실,,공원등 6주 외2종,1971-04-02,대전광역시 서구청,042-288-3623,2026-05-28
30170-00111,아름드리,소공원,,대전광역시 서구 도안동 2377,36.31456921,127.3515258,7581.1,,,,,,2022-01-28,대전광역시 서구청,042-288-3623,2026-05-28
30170-00112,도솔마을,소공원,,대전광역시 서구 도마동 105-8,36.317378,127.3748902,1318.9,운동시설 4종,,,,,2022-07-13,대전광역시 서구청,042-288-3623,2026-05-28
