노선명,노선번호,시도명,시군구명,도로구간-기점,도로구간-종점,도로구간-기점(위도),도로구간-기점(경도),도로구간-종점(위도),도로구간-종점(경도),주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자
현충원로(유성-18),대로2-12,대전광역시,유성구,대전광역시 유성구 장대동 267-5(구암교네거리),대전광역시 유성구 장대동 224-2,36.3582703,127.3320553,36.3597469,127.326984,,0.44,25,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
현충원로(유성-19),대로1-11,대전광역시,유성구,대전광역시 유성구 장대동 224-29,대전광역시 유성구 구암동 427-3(현충원역삼거리),36.359749,127.3257583,36.3597106,127.3174018,,1.4,35,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
현충원로(유성-20),대로1-11,대전광역시,유성구,대전광역시 유성구 구암동 427-3(현충원역삼거리),대전광역시 유성구 구암동 664-1(덕명네거리),36.3597106,127.3174018,36.3600302,127.3056102,,2.2,35,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
현충원로(유성-21),대로1-11,대전광역시,유성구,대전광역시 유성구 구암동 664-1(덕명네거리),대전광역시 유성구 갑동 산40-1(삽재IC),36.3600302,127.3056102,36.36074725,127.273742,,5.6,35,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은로(유성-22),대로2-28대로2-27대로1-25,대전광역시,유성구,대전광역시 유성구 구암동 427-2(현충원역삼거리),대전광역시 유성구 하기동 514(송림네거리),36.3597476,127.3175686,36.3885832,127.3216193,지족네거리,6,30,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은로(유성-23),대로1-25,대전광역시,유성구,대전광역시 유성구 하기동 514(송림네거리),대전광역시 유성구 하기동 546,36.3885832,127.3216193,36.389992,127.3317172,,2.2,30,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은로(유성-24),대로1-25대로1-16,대전광역시,유성구,대전광역시 유성구 하기동 546,대전광역시 유성구 신성동 산26-8(신성교),36.389992,127.3317172,36.3843425,127.343324,,3,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
진잠로(유성-25),중로1-151,대전광역시,유성구,대전광역시 유성구 교촌동 615-5(교촌삼거리),대전광역시 유성구 원내동 197-1,36.3047413,127.3201303,36.3009205,127.3154872,새마을금고 진잠지점,1.2,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
계백로(유성-26),광로2-12,대전광역시,유성구,대전광역시 유성구 원내동 838(서구경계),대전광역시 유성구 원내동 806-1(진잠네거리),36.3018971,127.3319907,36.298777,127.3236558,,0.9,40,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
배울2로(유성-27),중로1-008,대전광역시,유성구,대전광역시 유성구 관평동 896,대전광역시 유성구 용산동 719,36.423381,127.3850927,36.4188849,127.3976619,배울교,2.8,22,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
북유성대로(유성-28),광로2-7,대전광역시,유성구,대전광역시 유성구 반석동 679(외삼네거리),대전광역시 유성구 장대동 224-2,36.3961445,127.3121561,36.3597469,127.326984,침신대네거리,7.2,50,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-29),대로3-25,대전광역시,유성구,대전광역시 유성구 전민동 325-5(전민네거리),대전광역시 유성구 화암동 98-6(화암네거리),36.3992724,127.4045468,36.4079573,127.375715,대전과학수사연구소,6,25,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-30),대로2-11,대전광역시,유성구,대전광역시 유성구 화암동 98-6(화암네거리),대전광역시 유성구 방현동 424,36.4079573,127.375715,36.4059137,127.3709707,,0.3,30,2,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-31),대로2-11,대전광역시,유성구,대전광역시 유성구 방현동 424,대전광역시 유성구 장동 451(자운동515-22),36.4059137,127.3709707,36.4004003,127.3624054,,1.2,30,2.5,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-32),대로2-11,대전광역시,유성구,대전광역시 유성구 자운동 20-14(자운대네거리),대전광역시 유성구 하기동 18-32,36.3933394,127.3503937,36.3910947,127.346968,,0.38,30,1.5,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-33),대로2-11,대전광역시,유성구,대전광역시 유성구 하기동 산2-7,대전광역시 유성구 신성동 372-5(신성네거리),36.3870731,127.3432898,36.3843027,127.3442828,,0.3,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-31),광로3-3,대전광역시,유성구,대전광역시 유성구 신성동 산26-8(신성교),대전광역시 유성구 장대동 318-1(궁동네거리),36.3843425,127.343324,36.3645166,127.3386656,충남대수의대,4.2,40,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-32),대로2-30,대전광역시,유성구,대전광역시 유성구 장대동 318-1(장대네거리),대전광역시 유성구 장대동 352-8(유성초네거리),36.3645166,127.3386656,36.3605907,127.3360468,,0.4,30,2.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-33),대로2-12,대전광역시,유성구,대전광역시 유성구 장대동 267-5(구암교네거리),대전광역시 유성구 구암동 226-1((구)유성중),36.3582703,127.3320553,36.3477147,127.3268759,,1.2,30,1.3,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-34),대로2-12,대전광역시,유성구,대전광역시 유성구 구암동 226-1((구)유성중),대전광역시 유성구 구암동 269-3,36.3477147,127.3268759,36.3463715,127.3252052,,0.1,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-35),대로2-12,대전광역시,유성구,대전광역시 유성구 구암동 269-3,대전광역시 유성구 대정동 507-21(한우물네거리),36.3463715,127.3252052,36.3152638,127.3162527,사기막골삼거리,3.8,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-36),광로2-11,대전광역시,유성구,대전광역시 유성구 대정동 507-21(한우물네거리),대전광역시 유성구 교촌동 616,36.3152638,127.3162527,36.3059407,127.3186835,,1.2,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로(유성-37),광로2-11광로2-17,대전광역시,유성구,대전광역시 유성구 교촌동 616,대전광역시 유성구 원내동 806-1(진잠네거리),36.3059407,127.3186835,36.298777,127.3236558,,1.4,30,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
갑천로(유성-38),대로2-3대로3-1대로2-4,대전광역시,유성구,대전광역시 유성구 봉산동 839(신구교네거리),대전광역시 유성구 전민동 20-1(한빛대교),36.4360958,127.390045,36.4104408,127.4140727,용산네거리,3.6,25,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
은구비로(유성-39),대로3-60대로3-61,대전광역시,유성구,대전광역시 유성구 지족동 858(열매마을4단지아파트),대전광역시 유성구 지족동 881-1(은구비네거리),36.377037,127.3166374,36.3781255,127.3226128,,1.8,20,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
은구비남로(유성-40),중로1-130,대전광역시,유성구,대전광역시 유성구 노은동 487(노은교회),대전광역시 유성구 노은동 523(대전선사박물관),36.371866,127.3154234,36.3710798,127.3245461,,1.4,20,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로654번길(유성-41),중로1-13,대전광역시,유성구,대전광역시 유성구 구암동 625-1(태림건재),대전광역시 유성구 구암동 610-26(낙원고시텔),36.3518288,127.3292582,36.3506837,127.3372451,,1.2,20,1.6,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대정북로(유성-42),대로2-24대로2-39,대전광역시,유성구,대전광역시 유성구 대정동 507-21(한우물네거리),대전광역시 유성구 대정동 304-7(에이스원),36.3152638,127.3162527,36.3160813,127.323718,,0.6,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성대로1689번길(유성-43),중로3-108중로3-112,대전광역시,유성구,대전광역시 유성구 전민동 460-1(삼성푸른아파트),대전광역시 유성구 전민동 463-1(kwater연구원),36.3988931,127.3989756,36.4022863,127.3998971,,0.6,12,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
엑스포로539번길(유성-44),중로2-78,대전광역시,유성구,대전광역시 유성구 전민동 463-1(kwater연구원),대전광역시 유성구 전민동 462-3(태광산업중앙연구소),36.4022863,127.3998971,36.4036574,127.4037218,,0.6,15,1.75,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
관평1로(유성-45),중로1-6,대전광역시,유성구,대전광역시 유성구 관평동 887(롯데마트대덕점),대전광역시 유성구 관평동 936(기업은행대덕점),36.4269596,127.3869827,36.4248543,127.3894415,,0.8,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
대정로(유성-46),대로3-76대로2-40,대전광역시,유성구,대전광역시 유성구 대정동 303-2(모다아울렛대전점),대전광역시 유성구 대정동 300-1(중부화물터미널),36.3125055,127.319328,36.3172504,127.3185183,,1.4,25,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
테크노중앙로(유성-47),대로2-1,대전광역시,유성구,대전광역시 유성구 관평동 1344(미래로네거리),대전광역시 유성구 탑립동 445-2(청막산공원삼거리),36.428663,127.3869805,36.4128299,127.406941,,5.9,30,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
테크노2로(유성-48),중로1-1,대전광역시,유성구,대전광역시 유성구 송강동 171-2(송강동네거리),대전광역시 유성구 관평동 1319(유콘시스템),36.4341757,127.3881974,36.4314237,127.3928474,,1,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
테크노3로(유성-49),중로1-2,대전광역시,유성구,대전광역시 유성구 관평동 887(롯데마트대덕점),대전광역시 유성구 관평동 1316(웅진에너지),36.4269596,127.3869827,36.4338862,127.3932744,,1.8,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
테크노6로관평천변로(유성-50),대로2-9중로1-013-1,대전광역시,유성구,대전광역시 유성구 관평동 688(keponf),대전광역시 유성구 관평동 672(테크노6단지),36.4292989,127.3986186,36.4191329,127.3897093,,2.6,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
반석서로(유성-51),중로1-165,대전광역시,유성구,대전광역시 유성구 반석동 623(외삼네거리),대전광역시 유성구 반석동 613(반석6단지),36.3945289,127.3117467,36.3942428,127.3090181,,0.7,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
반석동로(유성-52),중로1-166,대전광역시,유성구,대전광역시 유성구 반석동 621-4(쎈타프라자),대전광역시 유성구 반석동 613(반석6단지),36.3915889,127.3114048,36.3942428,127.3090181,,0.9,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
반석동로(유성-53),중로1-167,대전광역시,유성구,대전광역시 유성구 반석동 622(반석5단지),대전광역시 유성구 반석동 977(반석1단지),36.39031467,127.3109012,36.38842912,127.3115374,,0.8,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
반석서로(유성-54),중로2-225,대전광역시,유성구,대전광역시 유성구 반석동 613(반석6단지),대전광역시 유성구 반석동 616(반석4단지),36.39427962,127.3091381,36.3919395,127.309685,,0.9,15,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
반석서로(유성-55),중로2-226,대전광역시,유성구,대전광역시 유성구 반석동 622(반석5단지),대전광역시 유성구 반석동 977(반석1단지),36.39031467,127.3109012,36.38842912,127.3115374,,0.7,15,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
지족로(유성-56),중로1-168,대전광역시,유성구,대전광역시 유성구 지족동 599-4,대전광역시 유성구 지족동 984-5(용진프라자),36.3879961,127.308817,36.3872622,127.317540,,1.4,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은동로(유성-57),중로2-148,대전광역시,유성구,대전광역시 유성구 지족동 873(열매2단지),대전광역시 유성구 지족동 880(열매6단지),36.38005898,127.3191366,36.3765116,127.3208994,,1.4,15,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은동로(유성-58),중로1-132,대전광역시,유성구,대전광역시 유성구 노은동 534-12(sk주유소),대전광역시 유성구 지족동 915(상지초),36.367503,127.3231618,36.3753649,127.322113,,2,20,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은동로(유성-59),대로2-7,대전광역시,유성구,대전광역시 유성구 노은동 566(농수산시장),대전광역시 유성구 노은동 567-1(노블레스),36.36516791,127.3201783,36.3626801,127.3181781,,1.2,30,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은동로(유성-60),중로1-131,대전광역시,유성구,대전광역시 유성구 노은동 552-2(수정초),대전광역시 유성구 노은동 562-8(노은오피스텔),36.3661318,127.3134566,36.3635225,127.3173462,,1.4,20,3,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
노은서로(유성-61),중로1-129,대전광역시,유성구,대전광역시 유성구 노은동 515-1(대순진리회),대전광역시 유성구 노은동 488-1(갤러리하우스),36.3675286,127.3134221,36.3719951,127.3159349,,1.3,20,3,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
엑스포로(유성-62),대로3-27,대전광역시,유성구,대전광역시 유성구 전민동 466-3(엑스포코아),대전광역시 유성구 전민동 462-3(태광산업연구소),36.4000083,127.4057117,36.40351598,127.4036059,,1,25,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
엑스포로(유성-63),대로3-25,대전광역시,유성구,대전광역시 유성구 전민동 325-4(전민네거리),대전광역시 유성구 문지동 103-2(문지삼거리),36.399362,127.4044235,36.3927881,127.4036487,,2,25,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
엑스포로(유성-64),대로3-21,대전광역시,유성구,대전광역시 유성구 문지동 104-4(gs연구소),대전광역시 유성구 도룡동 3-1(과학공원네거리),36.3889342,127.4025412,36.3778275,127.3823643,원촌삼거리,7.4,25,2.5,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하서로(유성-65),중로1-142,대전광역시,유성구,대전광역시 유성구 덕명동 601-4,대전광역시 유성구 덕명동 601-1,36.3474185,127.3003969,36.347673,127.3007623,,0.12,20,2.9,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하서로(유성-66),중로2-183,대전광역시,유성구,대전광역시 유성구 덕명동 613-1(당산네거리),대전광역시 유성구 계산동 744-1,36.3474318,127.2995947,36.3401864,127.3043159,,2.22,15,4,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하동로(유성-67),중로1-146,대전광역시,유성구,대전광역시 유성구 학하동 726-7,대전광역시 유성구 학하동 724-6,36.339812,127.3050322,36.3384961,127.3081295,,0.6,20,4,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하동로(유성-68),소로1-학하06,대전광역시,유성구,대전광역시 유성구 학하동 750-7,대전광역시 유성구 학하동 753-7,36.3383272,127.308532,36.3374558,127.3105782,,0.4,20,4,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하남로(유성-69),중로2-176,대전광역시,유성구,대전광역시 유성구 계산동 744-10,대전광역시 유성구 계산동 801-1(진잠농협),36.3391644,127.3037123,36.3424818,127.3038499,,1,15,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하남로(유성-70),중로2-179,대전광역시,유성구,대전광역시 유성구 계산동 745-5,대전광역시 유성구 학하동 783-3,36.3385991,127.3041295,36.3356898,127.3106495,,1.36,15,4,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하복용서로(유성-71),중로1-144,대전광역시,유성구,대전광역시 유성구 복용동 562-2(복용네거리),대전광역시 유성구 학하동 717-7(호신네거리),36.3451173,127.3107335,36.3403684,127.3092938,,1.2,20,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하복용서로(유성-72),중로1-147,대전광역시,유성구,대전광역시 유성구 학하동 723-2(호신네거리),대전광역시 유성구 학하동 724-15,36.3399162,127.3090081,36.3375282,127.3075031,,0.6,20,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하남로90번길(유성-73),중로2-194,대전광역시,유성구,대전광역시 유성구 학하동 756-5,대전광역시 유성구 학하동 783-3,36.3370968,127.3077186,36.3356898,127.3106495,,0.59,15,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하복용로(유성-74),중로1-145,대전광역시,유성구,대전광역시 유성구 복용동 580-2(박산삼거리),대전광역시 유성구 학하동 742-6(학무정네거리),36.3438511,127.314666,36.3393191,127.3117426,,1.2,20,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
학하복용로(유성-75),중로1-148,대전광역시,유성구,대전광역시 유성구 학하동 746-6(학무정네거리),대전광역시 유성구 학하동 762-7,36.3388126,127.311424,36.3350587,127.3090399,,1,20,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
관평천(유성-76),,대전광역시,유성구,대전광역시 유성구 관평동 485-3(동화교),대전광역시 유성구 용산동 513(관평교),36.4134309,127.3867434,36.4286322,127.4004416,,4.48,,2,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
반석천(유성-77),,대전광역시,유성구,대전광역시 유성구 반석동 520(노은4지구),대전광역시 유성구 장대동 379(장현교),36.3887976,127.2978974,36.35880167,127.3414262,,6.2,,2.3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
화산천(유성-78),,대전광역시,유성구,대전광역시 유성구 계산동 720(화산제5교),대전광역시 유성구 학하동 767(학하2교),36.3438972,127.2993032,36.3385144,127.3144343,,3.4,,1.8,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
유성천(유성-79),,대전광역시,유성구,대전광역시 유성구 덕명동 570(구덕교),대전광역시 유성구 어은동 109(어은교),36.3586878,127.3072377,36.3620448,127.3563813,,5.2,,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
탄동천-1(유성-80),,대전광역시,유성구,대전광역시 유성구 자운동 36-7(자운대네거리),대전광역시 유성구 신성동 8-7,36.3959207,127.3477748,36.3805924,127.3563957,,2,,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
탄동천-2(유성-81),,대전광역시,유성구,대전광역시 유성구 구성동 456(구성교),대전광역시 유성구 구성동 410-1(매봉교),36.37571489,127.3663707,36.37421277,127.3784713,,1.4,,3,자전거보행자겸용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
문지로(유성-82),대로3-24,대전광역시,유성구,대전광역시 유성구 문지동 679,대전광역시 유성구 문지동 661-5,36.3903442,127.4051499,36.3907147,127.4089928,,0.8,25,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
엑스포로(유성-83),대로3-25,대전광역시,유성구,대전광역시 유성구 문지동 679,대전광역시 유성구 문지동 632-7,36.3903442,127.4051499,36.3948146,127.405205,,0.65,25,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
계룡로(유성-84),광로2-6,대전광역시,유성구,대전광역시 유성구 봉명동 551-11(유성네거리),대전광역시 유성구 봉명동 1017-6(용반네거리),36.3538562,127.342154,36.3513364,127.347757,,1.2,50,1.5,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
도안동로(유성-85),소로도안3-2소로도안3-8,대전광역시,유성구,대전광역시 유성구 봉명동 1017-6(용반네거리),대전광역시 유성구 봉명동 1071(용반교),36.3513364,127.347757,36.3454088,127.3473804,,0.56,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
월드컵대로(유성-86),"소로 도안3-3,4,6,7",대전광역시,유성구,대전광역시 유성구 봉명동 1019-9,대전광역시 유성구 봉명동 1027-1(진터네거리),36.3487551,127.3470766,36.3489882,127.3419164,,1.4,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
월드컵대로(유성-87),소로 도안3-5,대전광역시,유성구,대전광역시 유성구 봉명동 1027-1(진터네거리),대전광역시 유성구 상대동 138-14(상대초등학교),36.3489882,127.3419164,36.3474351,127.3365039,,0.4,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
도안대로(유성-88),"소로 도안3-1,10소로 도안 2-13",대전광역시,유성구,대전광역시 유성구 봉명동 1055-1(원골네거리),대전광역시 유성구 봉명동 1016-1(유성네거리),36.3430028,127.3400841,36.3529709,127.3417826,,1.2,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
도안대로(유성-89),"소로 도안3-12,13",대전광역시,유성구,대전광역시 유성구 봉명동 1055-1(원골네거리),대전광역시 유성구 상대동 487(상대네거리),36.3430028,127.3400841,36.3396608,127.3354893,,1.16,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
상대서로(유성-90),소로 도안3-12,대전광역시,유성구,대전광역시 유성구 상대동 487(상대네거리),대전광역시 유성구 상대동 460-11,36.3396608,127.3354893,36.3381499,127.3328287,,0.25,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
원신흥로(유성-91),"소로 도안3-18,19,22,26,28,23,24,25,27",대전광역시,유성구,대전광역시 유성구 원신흥동 540-1,대전광역시 유성구 원신흥동 515-1,36.3379756,127.3387675,36.3383359,127.3485783,,1.9,5,2,자전거전용도로,Y,대전광역시 유성구청,042-611-2807,2025-06-10
