가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
구봉산북로,36.292732,127.320345,36.303373,127.344838,메타+벚나무,460,3.3,1996,봄에는 벚나무의 벚꽃 여름엔 메타세쿼이아의 서늘한 그늘 가을엔 메타세쿼이아의 단풍을 느낄수 있는 가로수길,,일반국도,서일고등학교-느리울네거리,042-288-3616,대전광역시 서구청,2026-06-10
금평1길,36.255224,127.342411,36.252239,127.344084,이팝나무,53,0.24,1994,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,기성치안센터 옆,042-288-3616,대전광역시 서구청,2026-06-10
남선로,36.348971,127.398696,36.343551,127.395514,이팝나무,72,0.819,2002,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,지방도,둔산남로-도솔로,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로,36.333863,127.371887,36.370849,127.379542,은행+느티+이팝+소나무,1246,4.1,1971,"은행나무의 단풍, 이팝나무의 하얀꽃과 느티나무가 만들어내는 그늘, 사시사철 푸른 소나무의 청량함을 느끼며 산책할 수 있는 가로수길",,일반국도,안골네거리-대덕대교,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로167번길,36.348254,127.376431,36.349827,127.373556,이팝나무,34,0.317,1994,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,대덕대로-계룡로416번길,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로168번길,36.34813415,127.3766212,36.344351,127.3796162,이팝나무,58,0.517,1994,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,계룡로500번길-대덕대로,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로220번길,36.35225032,127.3794512,36.3520909,127.3828149,은행나무,51,0.48,1994,은행나무의 단풍을 느낄수 있는 가로수길,,구도,갤러리아백화점-시교육청,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로233번길,36.35356617,127.376561,36.35358031,127.3792126,회화나무,66,0.255,1994,회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,구도,둔지로-파랑새네거리,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로234번길,36.35359652,127.3797864,36.35360825,127.3845714,은행나무,66,0.24,1994,은행나무의 단풍을 느낄수 있는 가로수길,,구도,파랑새네거리-충남선거관리위원회,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로242번길,36.35428603,127.3811656,36.35431228,127.3828202,은행나무,34,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,대덕대로-을지병원,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로249번길,36.35509366,127.3765628,36.35506728,127.3792031,회화나무,32,0.22,1994,회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,구도,둔지로-대덕대로,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로290번길,36.35875576,127.379778,36.3587729,127.382881,은행나무,92,0.24,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,대덕대로-둔산서로,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로317번길,36.3611563,127.3765641,36.36108673,127.372887,버즘나무,34,0.182,1994,버즘나무의 큰잎들로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,대덕대로-선사유적4길,042-288-3616,대전광역시 서구청,2026-06-10
대덕대로335번길,36.362968,127.376594,36.362951,127.379218,이팝나무,26,0.234,2004,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,지방도,무궁화@옆,042-288-3616,대전광역시 서구청,2026-06-10
도마5길,36.31624557,127.3788869,36.317613,127.3838656,은행나무,,0.39,1998,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,도산로-버드내중교,042-288-3616,대전광역시 서구청,2026-06-10
도마로,36.32243008,127.3738275,36.32114374,127.3844509,은행나무,91,1.3,1970,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,삼정하이츠아파트-유등천,042-288-3616,대전광역시 서구청,2026-06-10
도산로,37.46825858,126.635911,37.46684599,126.6387598,은행+버즘,809,5.1,1988,은행나무의 단풍과 버즘나무의 큰잎들로 만들어내는 그늘 및 공기정화로 인한 쾌적한 산책을 할 수 있는 가로수길,,일반국도,용문교-도마교,042-288-3616,대전광역시 서구청,2026-06-10
도솔로,36.339189,127.400938,36.310847,127.374509,은행+버즘+목백합,969,2.85,1984,은행나무의 단풍과 버즘나무의 큰잎들로 만들어내는 그늘 및 공기정화로 인한 쾌적한 산책을 할 수 있는 가로수길,,일반국도,유등천-탄방네거리-도마삼거리,042-288-3616,대전광역시 서구청,2026-06-10
도안남로,36.3046367,127.3373182,36.30452887,127.3403906,느티나무,106,0.3,1996,느티나무가 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,관저중학교-봉우재네거리,042-288-3616,대전광역시 서구청,2026-06-10
도안대로,36.30738578,127.3347469,36.30483088,127.3347638,이팝+목백합,159,0.9,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,구도,원앙A1단지-계백로,042-288-3616,대전광역시 서구청,2026-06-10
도안동로,36.331871,127.347901,36.305141,127.353242,느티나무,226,5.33,1998,느티나무가 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,동서대로-계백로,042-288-3616,대전광역시 서구청,2026-06-10
도안동로11번길,36.305339,127.348954,36.306247,127.352655,참나무,61,0.36,1998,"번영이라는 꽃말을 가지고 있으며, 탄소 흡수율이 높은 수종으로 도시온도를 낮춰 지구온난화 극복에효과가 있는 가로수길",,일반국도,원도안로-도안동로,042-288-3616,대전광역시 서구청,2026-06-10
도안동로12번길,36.30636629,127.3531583,36.30686967,127.3551146,참나무,44,0.21,1998,"번영이라는 꽃말을 가지고 있으며, 탄소 흡수율이 높은 수종으로 도시온도를 낮춰 지구온난화 극복에효과가 있는 가로수길",,일반국도,도안동로,042-288-3616,대전광역시 서구청,2026-06-10
도안북로,36.33010478,127.3418328,36.33192147,127.3446864,이팝나무,166,1.8,1998,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,동서대로-동서대로,042-288-3616,대전광역시 서구청,2026-06-10
도안북로93번길,36.3316135,127.3389324,36.33161403,127.3403302,이팝나무,98,0.345,1998,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,도안북로-도안북로117번길,042-288-3616,대전광역시 서구청,2026-06-10
도안중로,36.30792017,127.3409677,36.30951346,127.3431737,느티+벚나무,116,1.3,1994,느티나무가 만들어내는 그늘로 인한 쾌적한 보행환경과 이팝나무의 꽃의 산뜻함을 느낄수 있는 가로수길,,일반국도,도안대로-도안동로,042-288-3616,대전광역시 서구청,2026-06-10
동서대로,36.327835,127.388671,36.334638,127.367849,은행+이팝+해송+반송,404,1.65,1994,"은행나무의 단풍, 이팝나무의 꽃의 산뜻함과 사시사철 푸른 소나무,해송의 청량함을 느낄수 있는 가로수길",,일반국도,가장교-신갈마로,042-288-3616,대전광역시 서구청,2026-06-10
둔산남로,36.3476861,127.3779586,36.34892495,127.401526,은행나무+중국단풍,344,1.82,1994,은행나무와 중국단풍이 조성되어 있어 아름다운 단풍을 느낄수 있는 가로수길,,일반국도,계룡로-삼천교네거리,042-288-3616,대전광역시 서구청,2026-06-10
둔산남로105번길,36.35108789,127.3892325,36.34917738,127.3892397,은행나무,40,0.254,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산로-둔산남로,042-288-3616,대전광역시 서구청,2026-06-10
둔산남로91번길,36.351553,127.387654,36.349185,127.387675,은행나무,31,0.254,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산로-둔산남로,042-288-3616,대전광역시 서구청,2026-06-10
둔산대로,36.36483267,127.3702084,36.36481356,127.3931171,은행+버즘+느티+메타+벚+낙우송,1086,2.2,1993,"은행나무와 메타세쿼이아의 단풍을 느낄수 있고 버즘나무의 큰잎,느티나무, 메타세쿼이아가 만들어내는 그늘로 인하여 쾌적한 산책을 할 수 있는 가로수길",,일반국도,갑천삼거리-평송수련원삼거리,042-288-3616,대전광역시 서구청,2026-06-10
둔산대로117번길,36.365123,127.382196,36.369849,127.379653,회화나무+벚나무,161,0.63,1994,"봄에는 벚나무의 벚꽃, 여름엔 회화나무의 밀생한 잎으로 만들어내는 그늘을 느낄수 있는 가로수길",,일반국도,둔산대로-KBS방송국,042-288-3616,대전광역시 서구청,2026-06-10
둔산로,36.35269891,127.3743732,36.3513621,127.3782103,은행+회화+중국단풍,417,2.04,1994,은행나무와 중국단풍의 단풍과 회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,둔산여고네거리-보라삼거리,042-288-3616,대전광역시 서구청,2026-06-10
둔산로101번길,36.35567689,127.3851331,36.35143255,127.3850732,메타세콰이어,93,0.48,1994,메타세쿼이아의 서늘하고 쾌적한 보행환경 제공 및 단풍을 느낄수 있는 가로수길,,일반국도,둔산북로-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산로123번길,36.35345829,127.3877514,36.35134067,127.3877075,은행나무,40,0.2,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,검찰청-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산로137번길,36.35339931,127.3892607,36.35143247,127.3892676,은행나무,35,0.2,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,법원-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산로206번길,36.35111291,127.3966967,36.34948185,127.3966773,이팝나무,18,0.2,1994,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,둔산로-문정로170번길,042-288-3616,대전광역시 서구청,2026-06-10
둔산로31번길,36.35570793,127.3775239,36.35192305,127.3775056,회화나무,57,0.36,1994,회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,둔산북로-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산로51번길,36.3513669,127.379536,36.35564487,127.380359,은행나무,83,0.42,1994,은행나무의 단풍을 느낄수 있는 가로수길,,구도,둔산북로-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산로73번길,36.353481,127.381939,36.351528,127.381885,은행나무,51,0.25,1994,은행나무의 단풍을 느낄수 있는 가로수길,,구도,을지병원-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산북로,36.35577663,127.3870331,36.35576976,127.3891499,은행+회화+중국단풍,409,2.04,1994,은행나무와 중국단풍의 단풍과 회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,갈마공원-문정중교,042-288-3616,대전광역시 서구청,2026-06-10
둔산북로90번길,36.35518073,127.3845903,36.35590256,127.3843153,메타+계수,84,0.48,1994,메타세쿼이아의 서늘하고 쾌적한 보행환경 제공 및 단풍을 느낄수 있는 가로수길,,일반국도,둔산북로-둔산로,042-288-3616,대전광역시 서구청,2026-06-10
둔산서로,36.35322157,127.3829096,36.35214905,127.3829489,은행나무,235,1.2,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,보라매삼거리-정부대전청사,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로,36.34673926,127.3865985,36.34674188,127.3885703,은행나무,233,1.2,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,서원삼거리-정부대전청사,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로134번길,36.358787,127.386862,36.358804,127.389931,은행나무,87,0.24,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산중로-문예로,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로14번길,36.34791367,127.388487,36.34782894,127.3868267,은행나무,63,0.2,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,청사동로-한가람아파트,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로32번길,36.34955386,127.3884729,36.349448,127.3877705,은행나무,10,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,대전광역시청-목련아파트,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로46번길,36.35081548,127.3884791,36.35076391,127.3877102,은행나무,19,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,대전광역시청-목련아파트,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로58번길,36.3518698,127.3884955,36.35176384,127.3878265,은행나무,24,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산우체국-크로바아파트,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로72번길,36.35309556,127.3884459,36.35299864,127.3877658,은행나무,24,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산중로-문예로,042-288-3616,대전광역시 서구청,2026-06-10
둔산중로78번길,36.35357292,127.3885262,36.35352467,127.3867323,은행나무,74,0.5,1994,은행나무의 단풍을 느낄수 있는 가로수길,,구도,검찰청네거리-한마루네거리,042-288-3616,대전광역시 서구청,2026-06-10
둔지로,36.35360218,127.3765723,36.35193482,127.3766311,회화나무,122,0.9,1994,회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,향촌아파트-둔산대로,042-288-3616,대전광역시 서구청,2026-06-10
만년남로,36.36518184,127.3767061,36.36580375,127.3766757,은행나무,45,0.5,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산대로-만년초교,042-288-3616,대전광역시 서구청,2026-06-10
만년로,37.16649903,126.9843386,37.165661,126.9840235,은행나무+회화나무+벚나무,139,0.67,1994,"은행나무의 단풍과 이팝나무의 하얀꽃, 회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길",,일반국도,둔산대로117번길-둔천초교,042-288-3616,대전광역시 서구청,2026-06-10
만년로67번길,36.36860386,127.3803218,36.3673692,127.380338,회화나무+벚나무,104,0.24,1994,"봄에는 벚나무의 벚꽃, 여름엔 회화나무의 밀생한 잎으로 만들어내는 그늘을 느낄수 있는 가로수길",,일반국도,만년로-KBS방송국,042-288-3616,대전광역시 서구청,2026-06-10
만년로68번길,36.36578348,127.380231,36.36648188,127.3802334,회화나무+벚나무,73,0.34,1994,"봄에는 벚나무의 벚꽃, 여름엔 회화나무의 밀생한 잎으로 만들어내는 그늘을 느낄수 있는 가로수길",,일반국도,만년로-둔산대로117번길,042-288-3616,대전광역시 서구청,2026-06-10
문예로,37.38487386,126.9305902,37.38536987,126.9313463,이팝+중국단풍+목백합,546,2.01,1997,"이팝나무의 하야꽃, 중국단풍의 단풍을 느끼며 산책할 수 있는 가로수길",,일반국도,둔산대공원삼거리-한가람네거리,042-288-3616,대전광역시 서구청,2026-06-10
문정로,37.49275734,127.1362259,37.4920556,127.135321,은행+버즘+중국단풍,528,3.85,1994,은행나무와 중국단풍의 단풍과 버즘나무의 큰잎들로 만들어내는 그늘 및 공기정화로 인한 쾌적한 산책을 할 수 있는 가로수길,,일반국도,계룡삼거리(샘머리A2단지)-숭어리샘네거리,042-288-3616,대전광역시 서구청,2026-06-10
문정로48번길,36.34484424,127.3845952,36.34637647,127.3845247,메타세콰이어,29,0.69,1994,메타세쿼이아의 서늘하고 쾌적한 보행환경 제공 및 단풍을 느낄수 있는 가로수길,,일반국도,문정로-계룡로,042-288-3616,대전광역시 서구청,2026-06-10
문정로89번길,36.34899307,127.3891051,36.34898815,127.3878462,은행나무,40,0.2,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,둔산남로-문정로,042-288-3616,대전광역시 서구청,2026-06-10
배재로,36.333863,127.371887,36.309218,127.368928,은행+중국단풍+목백합,511,3.35,1997,은행나무와 중국단풍이 조성되어 있어 아름다운 단풍을 느낄수 있는 가로수길,,일반국도,안골네거리-계백로,042-288-3616,대전광역시 서구청,2026-06-10
배재로197번길,36.3261269,127.3702925,36.32594186,127.3689329,은행+회화+느티+소나무,37,0.333,2003,은행나무의 단풍과 회화나무의 밀생한 잎 및 느티나무가 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,지방도,서대전여고-다목적체육관진입로,042-288-3616,대전광역시 서구청,2026-06-10
배재로232번길,36.329399,127.370528,36.328085,127.373361,벚나무,12,0.305,1994,벚나무의 벚꽃을 만끽할수 있는 가로수길,,일반국도,수정재네거리-변동중로,042-288-3616,대전광역시 서구청,2026-06-10
배재로233번길,36.33338261,127.3669743,36.33333735,127.3670409,은행나무,117,0.6,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,목운주택단지-수정재네거리,042-288-3616,대전광역시 서구청,2026-06-10
벌곡로,36.30499163,127.3532801,36.30468891,127.3520318,은행+이팝+벚,716,18.1,1988,벚나무의 벚꽃으로 봄의정취를 늦은봄~초여름엔 이팝나무의 하얀꽃으로 산뜻함을 가을엔 은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,가수원네거리-우명동,042-288-3616,대전광역시 서구청,2026-06-10
벌곡로1285번길,36.29607294,127.3552995,36.29615073,127.3564131,이팝나무,8,0.96,1994,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,벌곡로-빼울약수터,042-288-3616,대전광역시 서구청,2026-06-10
벌곡로1353번길,36.300426,127.351121,36.302086,127.354189,은행나무,62,0.38,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,가수원길-가수원초교,042-288-3616,대전광역시 서구청,2026-06-10
변동로,36.323456,127.385515,36.328171,127.374581,은행,197,0.98,1970,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,태평교-도솔로,042-288-3616,대전광역시 서구청,2026-06-10
변동중로,36.330174,127.378117,36.326621,127.370542,은행+중국단풍,132,0.7,1994,은행나무와 중국단풍이 조성되어 있어 아름다운 단풍을 느낄수 있는 가로수길,,일반국도,내동초교-배재로,042-288-3616,대전광역시 서구청,2026-06-10
변동중로45번길,36.3291362,127.3733946,36.32870057,127.3743753,은행나무,55,0.28,1994,은행나무의 단풍을 느낄수 있는 가로수길,,일반국도,동서대로1006번길-변동중로,042-288-3616,대전광역시 서구청,2026-06-10
복수남로,36.29819046,127.3781566,36.29830719,127.3754296,이팝나무,100,0.45,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,초록마을5단지-유등로,042-288-3616,대전광역시 서구청,2026-06-10
복수남로11번길,36.297445,127.379766,36.293969,127.378232,이팝나무,20,0.485,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,복수남로-유등로,042-288-3616,대전광역시 서구청,2026-06-10
복수남로12번길,36.299461,127.380903,36.297445,127.379766,이팝나무,23,0.22,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,복수동로51번길-복수남로,042-288-3616,대전광역시 서구청,2026-06-10
복수동로,36.304273,127.378841,36.298244,127.376955,느티+이팝,303,1.22,1996,느티나무가 만들어내는 그늘로 인한 쾌적한 보행환경과 이팝나무의 꽃의 산뜻함을 느낄수 있는 가로수길,,일반국도,혜천로-유등로17번길,042-288-3616,대전광역시 서구청,2026-06-10
복수동로51번길,36.299771,127.378511,36.299347,127.382083,이팝나무,58,0.3,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,복수동로-유등로,042-288-3616,대전광역시 서구청,2026-06-10
복수동로52번길,36.299468,127.374777,36.299771,127.378511,이팝나무,26,0.485,1996,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,유등로17번길-복수동로,042-288-3616,대전광역시 서구청,2026-06-10
복수북로,36.307299,127.370135,36.308233,127.377463,꽃개오동,57,0.72,1996,꽃개오동의 넓은 잎으로 만들어내는 그늘을 느끼며 산책할수 있는 가로수길,,일반국도,대청병원-복수초등학교,042-288-3616,대전광역시 서구청,2026-06-10
복수서로,36.309866,127.372335,36.304811,127.372635,버즘나무,32,0.67,1996,버즘나무의 큰잎들로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,불티고개-혜천로,042-288-3616,대전광역시 서구청,2026-06-10
샘머리길,36.362332,127.390356,36.362971,127.394143,버즘나무,71,0.36,1994,버즘나무의 큰잎들로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길,,일반국도,샘머리초등학교남측길(둔산동 1519),042-288-3616,대전광역시 서구청,2026-06-10
세점길,36.254469,127.340385,36.255992,127.339645,이팝나무,27,0.15,1994,이팝나무의 하얀꽃을 느낄수 있는 가로수길,,일반국도,흑석네거리-흑석우체국,042-288-3616,대전광역시 서구청,2026-06-10
신갈마로,36.334638,127.367849,36.357573,127.370794,회화+벚+청단풍+이팝나무,564,2.77,1994,"봄에는 벚나무의 벚꽃, 이팝나무의 하얀꽃, 여름엔 회화나무의 밀생한 잎으로 만들어내는 그늘, 가을엔 청단풍의 단풍을 느낄수 있는 가로수길",,일반국도,동서대로-갈마A-갈마4-한밭대로,042-288-3616,대전광역시 서구청,2026-06-10
신갈마로141번길,36.346256,127.368351,36.346075,127.364359,은행+회화+이팝+목백합,28,0.42,1994,"이팝나무의 하야꽃, 은행나무의 단풍과 회화나무의 밀생한 잎으로 만들어내는 그늘을 느끼며 산책할 수 있는 가로수길",,일반국도,갈마로-신갈마로-월평정수장,042-288-3616,대전광역시 서구청,2026-06-10
